clean_message,label
pmln aisi chawal shay k jubh tuk in hisa milta subh theek jubh hissa milna bund act like snake,Negative
o ho thanks g bara maza aaya kha k,Positive
episode name,Neutral
ptl waly ly pmln walo nhi kiya apni hakomat k kam btao usny kiya kiya,Negative
hate story 34 kesi ha,Neutral
oye ye bakra mil raha hai kafi sasta lena hai,Negative
yr jk ma just yhi changing ky jb j k both 1 hon then next term bhi 1 hoti ha,Neutral
isi liy to us ka bhi name likha ap ky sath,Neutral
official ha,Neutral
yar teri voice load nahi ho rahi text kar,Neutral
qasm sy yrr bs mn kia kahu,Negative
kiya baat ha yar,Positive
kabhi kabhi mere dil mein tera khyal ata hai crackers botter naeemtariq tk 3,Positive
asal saanp gaddar e watan nawaz shrif,Negative
allah pak ap ko khare kar iqrer bahi,Positive
to ector nahi chadi hair chadi,Neutral
mjy b lag rha ha,Neutral
tp sl lgha liya,Neutral
best only khuda aur muhabba,Positive
pahly bhi ap py yaqeen tha ab to or bhi pakka yaqeen ho gya hy ap he ho worlds best roaster the best roaster award goes to ducky bhai love you ducky bhai,Positive
na122 me dhandli ki gayi to hakumat nahi chalnay dain gay imran khan,Negative
mujy baqi koi confusion ni hai,Positive
shokat khanum me 70 mareezo ka muft elaj hota hai,Positive
hai naaa or naey driver ko car crash ka pata nai tha,Negative
free sirf tmhary liy hota ma,Positive
corruption ka pakistan kiya ye hai tabdeeli shrm ani chahiya sho ko,Negative
ni me lagai ni sab sell kr dia mjy lag rha tha kch hoga is lia profit book sai smja ab again buy kru ga,Positive
masha allah shah g,Positive
jab tk laga sakte,Positive
agr kisi qoum ko tbah krna chahtay hu to uss k education system ko tbah kr diya jayay yehi hmaray sath bhi hec ko dissolve kr k kiya ja rha hai yeh sub 1 sochi smjhi sazish k tehat ho rhay hai,Negative
bekaar aur boring hai ghisi piti kahani main koi nayee baat nahin hai maza nahin aya,Negative
buht ache is tarah ache post karte rehna bhai,Positive
q tme kis k sath bharwana h,Neutral
mids bhi bs theory ki tension mujhy to practical kafi hd tk better ate,Positive
or scene bhi us movie ka tha,Neutral
haye mere allah,Neutral
coding mjy b nai ati bs tuky shuky lag jaty ha indicator bana bna kr idea hogya ha konsa scene kya ha q ha is tra,Neutral
waisey yeah offshore companies ka paisa kehan se aaaaya aaap k ijazat k shukria you tell me waisey yeah offshore companies ka paisa aaaaya kehan se,Positive
kia sochon,Neutral
allah bachaye,Positive
iqrar bhai ap bohat ache hain ap ke sath har behan ki dua haiap har behan ki hifazat ke muhafeez hain,Positive
or wo bh sir paper bht mushkil tha,Negative
sahi kaha dr shah ba,Positive
b c kia waqt agaya log paisa kamane k liye apni aurton ko videos me dikha rahy hain begarti ki bhi koi hat hoti hai vlog dekhne waly sab k sab tharki hain jo dosron ki aurton ko dekhne aty hain,Negative
mazo ee kon ayo,Neutral
kr lia mn ny khudi easy tha,Positive
pakistani awam b apki worth maloom he k jidhr haddi dekhti udhr raghib hona jesey k pmln traf ap haddi dekhi hui lifafa phenk tmasha dekh bas ye worth ap jesio udhr beth stupid tweet bjaye pak aa apni worth dikhao darti mr pm,Negative
itna achaa comment diya hia kohe tareef nahe kar rha,Negative
well done respect for u sir one man solider,Positive
mein subha hostel hun ga,Neutral
baqi to just isi mein explore kiye the,Neutral
too kino layana chahna,Neutral
but abi idea aya ha,Neutral
kn c ayaay thi koi btaye ga,Neutral
tm ku fade up hoti yr,Neutral
saghar siddiqui ko darwesh shair ke naam se yaad kiya jata ha,Neutral
tissue ke dbe khali or lya,Neutral
100 episodes mukammal kerliye is lya bohat khush hon,Positive
roz ki kahani,Negative
aein pakistan to ap k hathon k mazydar parathe khate hain phir,Positive
tu kl a ja,Neutral
lanat asi aulad per,Negative
is k istmal se time both waste hota hai,Negative
lakin mein ne socha is pr mera koi haq nahi,Neutral
tum sab mil kar allah k samnay tauba karo takay tumhen falaah aur kamyabi naseeb ho,Positive
scrend zalim,Negative
bilkul he fuzool bekaar aur kisi bhi kaam ka nahi hai ye product iski quality tou boht he koi low hai ke maza he nahi aaya zara bhi pata nahi aisay quality ka product kaisay bachaye ga phone ko paani se khilona lag raha tha koi tou mjhe nahi pata ke ye meray kisi kaam bhi aayega ya nahi boht bura experience tha,Negative
jo buy kiya howa hia uska tp to sell me hoga na,Neutral
nahi tu zayada soch raha,Neutral
bht swet babiz hai ap k mashlaha,Positive
mry pr depend na hui,Neutral
mein ne kaha nahi esa nahi hy to achay hain sirf wahi lagte hain,Neutral
very good boht acha keya,Positive
but ho jy ga tb tk,Neutral
see this video a motivational and made with patriotic spice,Positive
mtlb restricted life ho jati,Negative
is me part me buy ka sl hoga,Neutral
pmln aik jhoot zalalat ke gathri k siwa ni ye saal purani tusmania ke pic,Negative
sep me long krein gy,Neutral
sharaf al haram,Negative
pmln sari nangi aik hath aagy aik peechy izzat phir n nhi dhakk aik dusry cover k guzara becharo,Negative
pencil khattak bolay bolay zaidi sahib nay phir nahen bolna ppp pmln kisi kay baray nahen bus f mun say nikla yah fouj samajh reply like zarror gain try lie,Negative
discussion mn feelings ka topic b tha kia,Neutral
thank you uncle anti,Positive
jis mein unhon ne khubsorat naghmat takhliq kiye,Positive
taab humray midia kahay hoo ta hai,Neutral
cm of pmln patwari isko b galian,Negative
allah ap ko lambi zindgi dy ameen,Positive
wah bhut khoob janaba x,Positive
ye wala burger zada better laga mujhae,Positive
nope lowest rate hai education ka kpk mai search karlo,Positive
haqeeeqat h ye,Neutral
pehle se change ho gai he awaaz i mean behtar,Positive
awesome drama pakistani dramas in the best i love this song smaiya mumtaz ka sadqe tumhare dekhna,Positive
aslamo alikom bhai boht boht shukrya,Positive
sambhal kay of verna hats off shoaib mansoor but ye new york s phatt phata k aie mahirakhan ko dalne ki kya zarort thi move on,Negative
ye be hees log he in ko samjhana be sood he in ki aqal pe parda he,Negative
aapka shukriya bhai ye qabahten her us jaga hoti hain jahan jehalat hoti hai,Positive
wo zinda hain are humara un ko sab koch dy rha hi,Positive
muft ky fatwy to na jharoo,Negative
12000 qeemat hojai sub qmobile ki tareef karenge wo isliye ke is mobile ki asal jaga wo hi he,Positive
50 walay nay intel se baat karli hogi ya phir kisi bahir ki company ko project dediya hoga kyon k next election mein tu is ka koi face bhi dekhna passand nahi karay ga,Negative
to thk hy buzzer ki light na laga,Positive
good one,Positive
meri tweet b dekh lia kro me pmln,Negative
hate india,Negative
tujhy kia lgta kia hoa hona,Neutral
baqi dono ko khud tag kardena,Neutral
oppo f7 bhot he slow phone haprice itni ziada ha but not goodinfinx zero 5 is say 1000 acha ha i like infinix zero 5,Negative
raqam barao ganj sharif bikao judges tumare saaath hein menu note wakha mera mood baney,Negative
yeah gaddar phir say chalo ho raha haiallah khair karey,Positive
walaikum salam d wah ji wah aap nay bhi kamal kardiyaaaaaa apooooooo rolleyes goood work 43r5,Positive
asal sub maryam safdar chawalio tang agye jesy ppp agai moulna jan nh chor rahe pmln bol rahe k against,Negative
run ka button a rha,Neutral
aroob kia majbori thi,Neutral
camera k alawa mobile bohat acha ha,Positive
mehwish aur uroosa dono hi bari kameeni hainbechari khala toppp kulsoom out hogayee,Negative
btata ja,Neutral
not opining photos,Negative
mharbani janaab wassy pmln min seraf tc karnay walou ke qadar he k kam karnay walay warkar ke,Negative
tbi tmhai bi person ni bny ka kaha,Neutral
telephonic conversation between shabaz amp nawaz sharam te tohano aani nahi,Negative
chemistry ka nam mt liya kro yaaaro chem dil dukhati h jb b main chem ka nam sunti hn mjhai sir shahid ki jhooti tasssali yd aati h,Negative
jummah mubarikremember me in ur prayers,Negative
is ke sath he qaidoband ka silsila shuru ho gaya,Positive
walakuim assalam,Neutral
thanx dua sister mujhe is ki talah thi,Positive
eid mubarak aapko bhi,Positive
tab jaya ne hindi seekhna shuru ki aur bollywood film kaam chor mein rawani ke sath hindi bolti hui jalwagar hui,Positive
love you all,Positive
ye b sahi hay,Positive
inshallah lanataa hi parhni hai her taraf sy inshallah,Negative
to tu bhi mar ignore bs,Negative
na oy,Negative
hamny khud nai dekhni logo ko btana ha,Neutral
college se faraghat ke baad major muhammad akram shaheed apne walid ki rajment punjab boys company jhelum mein bhejh deya gaya,Neutral
cacha haroon rasheed kabhi khush nahi hoga pti or mqm bat cheet se ex jamati,Negative
phir ine bta do ga,Neutral
kutta bhonk day do kanjro,Negative
o bhaiyon jis price mey yeh log yeh set laa rahey hey na acha khasa hit set price list waja sey flop hogaa,Negative
kanjree kay kay gali gali mujra dakua she such agaahtee woman no shame,Negative
rite esa bhi hota he,Neutral
kxh pta us ka,Neutral
putar army pr kuttan thr kuy bonkh reha lanat gashti k tary pppp pmln un kuttan k kitna business uk uae usa sudia youdhia k sath lanat tar p l love pak army,Negative
hahhahahahaha that much relatable salay jindagi barbaad kardya,Negative
haters ki baat dil pa na lena inka kamm hi yahi hota hai,Negative
n league ko bhee khulay dil sy is ko qabool kerna chahya sab mil ker chalay gy to is mulk ma taraqi aur khushali aany ki umeed ha,Positive
yhn har banda hi ghalt faida utha tha ager samny wala majboor ho aisay logon ko zinda rehny ka koi haq ni,Negative
raza rabbani,Neutral
laanat beshmar kanjrion toula mader pidder azad,Negative
bahi pucha mein ne,Neutral
cm kpk pr ec main reference hi aur ap khamosh ho pehly tu ous si resign lu ek corrupt ko cm banaya huwa hi,Negative
o jahil pmln should apologize first ac should resign if he break the law koie benda apka pass aya and apko paisa offer kera ap inkaar ker apki achi baat ha burri baat ha mutlaq jahil,Negative
geo tv pppp and pmln key lafifa jurnalist jes waqith per jalsey bonk rahey they nahi yadh ahia,Negative
kis krty ho,Neutral
jo ay thy unsy poch unky bchy na yaki lga kr chupa rhy ho,Neutral
yai log sidhi bt sidha jawb ni dyte rona shuru krdyte chalo serious h stefe tangain kaanp hn ro rhe hn bs,Negative
mgr mjhy acha lgta tmhai time dena,Positive
acha asar parega mulk say thra wazan kam hua jab ye hukamran maryn gy,Negative
haye mere allah,Positive
chal kama zada sara,Neutral
samjh gai matlub,Neutral
mulk ka kafi hason ma bijly ka masla khatam ho gya ha aur kya chahya is awam ko,Negative
theek hai,Neutral
phr m yahn msg nh krha hota kahin aur hota,Neutral
ye wala mjy phly hi ye deep lag rha tha ab yaqeen hogya,Neutral
loss hoga ya loss,Negative
unhon ne bhi le kr diya tha phone kisi ko,Neutral
saaf chali shafaq chali,Negative
hmm zaroor,Positive
jis ka unwaan tha the lady of the lake,Neutral
yes kin kin ki movie pay kar k ni dekhni chate,Neutral
jb hm farm pr bi gy,Neutral
hamid meer sab nay aaj huq ada kerdia pmln k suporter hony kal tak logics day rahy jalsay k nakam hony marium bibi agr ap jalsy kamyabi samjh mubarkain dayrahi phir kia may b ap bari nahi anay lgi pm ship its an alarm situtation,Negative
mujhe tou dubara dena hai,Neutral
tata bye bye 2525 zone,Neutral
yeh sarey choor gundday pakistan sey bahir hi jayein geye aur yeh sudia yah dubi hi inka tekana hai,Negative
acha but bohat short tha ya mazeed chal sakhta tha,Negative
asad bara hi ghatiya nikla bilkul apni mother jesa aik baat per jiss main iraj kaa koi qusoor nahin tha uss ko talaq de di asad ki itni saari mohabbat ishq jo wo iraj se kerta tha wo achanak khatam kesay hogaye,Negative
not bad,Neutral
lannat ho tum per iqrar bharwe,Negative
or mery parents mery liay is duniya mn sbbbbbb sy zada aham mtlb mujy kuch b ho jaye jo b bura hona mery sath ho but mery parents ko kbi pain sy na guzrna pry,Positive
acha g us ke bager,Neutral
mn kuch ni suna chahta,Negative
chala nahi hum se,Negative
esi bhabhi melegi bhi nhi,Negative
hahato kia hua,Neutral
unbalance mn,Neutral
garfta dil hain bhut aj tere diwane khuda kare koi tere siwa na pehchan,Negative
mashallah ap bhi bohat bohat bohat khobsoratcutesweetlovelyetc ho,Positive
zabardast interview achhay sawalat aur unkay detailed jawabat nice,Positive
ap zada soch ry,Neutral
kia laty ho wah,Negative
kya din thy yr,Neutral
mery mind me ak game a rhi ha is ko binance se 4 ka buy kr mexc me sell kry to,Positive
btc have 2 gaps,Neutral
do jahiil aik program bolta pakistan bolta pakistan,Neutral
axhi hy,Positive
kuch asar nai pary gay,Negative
sahiiba ap request ye b youthiya ye b kisi k kehny py apka interview ly harami kamini munh tor jawab dijiye,Negative
ap sharam aati sirf ye trend nazar aya pmln k ldrs k speeches ni dekhi agr tab condemn kiya shyd,Negative
me ne aj try ki bohat tasty bani sab ko pasnd ai thank u masala tv nd thank u rida,Positive
hamary essy naseeb kaha,Negative
wow is set ke spice bohat zibardast hai ager price 25000 k nechy nechy ri to best wrna farieg same spice huwah g610s 20000 ka hai,Positive
35 min huy baat kry,Neutral
bohat achi chez hay ya,Positive
yar amir bhai both zabrdast hai bnda seekh jayga sahi se par unk pass time nhi hota jitna ho skta hai bechara karta hai,Positive
camera aj nikly hin pmln khud lgay hin in aj pta in ky canidate aj sanjrani vote dyn isliye inhon camera nasab karwadiye jub nikal ilzam pti py lga hin samgny waly khub samagty hin wah tumhari siyasat,Negative
g bhai baat pmln leave pti minister khair leave no comment,Negative
jeeeeeee aur revision bhi yad ai jo ghar pr ki thi,Positive
i cant believe how it is possible,Negative
ye nasli banda inshallah pmln sher,Positive
asrar bhai ko mera dono hathon se salam ha bhat acha kam kr rhy hen hamari duaen ap ky sath hen mola ki amaan men rhen,Positive
hahaha khwaahishein,Positive
u pmln apnay log ghatia trend chalwa in social media team har qisam ghatia task diye gay,Negative
stuf kesa h icka,Neutral
mera gym bro ha,Neutral
ohh pmln waly wahan pr ghus wah khotay k bhai,Negative
meri janu,Positive
or ek or bat jab teri marzi ho g tu apna account wapis bhi le sakta,Positive
tameezdar samira bari hi badtameez hai hahaha,Negative
logo ko dyan sy daikho logice he wicket uri hoi he,Negative
shukria jaisay namonay ko meray lye rkhnay k lye,Positive
ducky bhai ye kya kar diya,Negative
aj pmln issi gilani support ri ha ha khota dimag,Negative
nahi to mujhy nam change karnay mein koi issue nahi tha,Neutral
kesy so jaon,Negative
last time ki trha phir baztii krwa di,Negative
mera bus chele kute moot maraon tum gale mein rasi daal ke gale mein jote moo kala nawaz tumara or thmari beti or pakistan jote mare begerato,Negative
sb ho jata,Positive
bna bna,Neutral
tu dy a apni,Neutral
chal thik rmlo,Neutral
k taarikhi waqiyat,Neutral
for life,Positive
jahil ppp pmln kay leaders unkay supporters democracy matlab nahin badshahat beta idhar beti wali ahad banay baithay sirf aik democratic party zindabad,Negative
shukr ha aj solve ho gia wo error,Positive
love story chahe jaisi bhi ho mujhe bahut maja aata hai dekhne me,Positive
zabrdst fiza sis aap ki designing to kamal ha,Positive
is aunty ki language bta rahi hai sab kuch k kasi tarbiat hui hai is aunty ki,Negative
matlab ap ke me pakistan ek baar blacklist ek baar grey list chuka toh lanat ap sab apki hukumat pakistan money laundering network pmln,Negative
na na pro amir or mohsin ha bs,Neutral
mushkil hay ke upgrade kar de,Negative
is song par jaya prada ne bohat kamal ka raqs kiya,Positive
lanat ha is begart pa janwar b kahlany k lyke nh ya kmeena,Negative
etni mehnat ki ha ap ny es py allah ap ko sada khush rakhay or bohat bohat taraqi ata karay,Positive
hmari dua pak women k sath he allah inko kamiyab kre ga take pak ka nam ucha ho,Positive
check last one jab gate open ho ga,Neutral
maryam nawaz alfaz vote ap do vo zardari jaega sadafsos ap un ye khna ur noon league apne mansoor sa hatna ur jga maryam dena ap zawal wja bne,Negative
election commission farigh nawaz k rakhwalay per aaj kal bay bus pmln k mnas ore mpas kyun notice day abhi tak pti kee jeet nateeja daska say nahi anounce buzdar ore chief secretary punjab action lay,Negative
nhee supplier hsin bhoot iss ka pass tum pershan na ajkal free khata means mufta,Negative
chlyn jesy apko behtr lgta,Positive
doosri wo pagal tareen saman hai drama zidd main jo baghair kisi wajah kay apnay husband kaa gher chhor ker bhaagi hui hai teesri pagal tareen heroin thi rameen drama chup raho main jiss ki bewaqoofiyan dramay kay end tak jaari theen chuathi pagal tareen heroin salma hai jackson heights main jo independent honay aur usa main rehnay kay baad aur apnay nikammay husband se kutt khanay kay baad bhi usay chorna nahin chahti,Negative
college school mn b ye chez face ki mn,Negative
meray mom mein khaak agar faisala ganju ke khilaf hai air us ko is baat ki khabar hai to 20 april se phele koi na koi barda hadsa hone ka raha hai,Negative
merray khayal main yonis ghalat captain ho ga us ko khud play karna nahin aata wo kya khak dosron ko motivate karay ga,Negative
tere liye hy,Neutral
jo achaa drama hota ha yeh is tarha hi kartay ha drama ka saah,Negative
hm to chill hey ab,Positive
eab hamra media or goverment ion kay gher ke video banyain or ion ko dakain yeh tu mar chokey hain in kay bachoun ko hi lay jaoo akar kar kisee na kisee ko dena tu hai na afia saqiq ke tara apney jan choraney hai kisee na kisee takreekay say bakarat media or goverment jab logoun kay din say imana ja jazba katham hojata hai tu ion kay dil murda hojatey hain jasey kay aby hamrey foj ka dil bee murda hochoka hai,Negative
jab yeh pocha gaya ke aap nwfp mein kya kar raahi hain,Neutral
bhot peara darama hai dil krta hai delta he rahon,Negative
imran khan sahab aap n ek interview m kaha hy kay allah nay aap ko farishta hona chahyay tha zara soch samjh kay interview dy,Positive
judges ko chahey juldi faisla sunaa dean suna hay lahore mean ik aur dhamaka ho gia hay kon kon iss kay peechay ho sakta haypanamaa say tu nahi koe loog aa gaey,Negative
bekar drama tha,Negative
mujhy puri umeed hy inshallah agy bhi behtari honi,Positive
is ke elawa bhi wo mutadid award hasil karte rahe,Positive
humein es khatte me aman qaem karne k leye masla kashmir ka por aman hal chahyee smq,Positive
sae kh re ho,Neutral
iqtidar kay bhooky ghaddar modi kay yar bayghyrat,Negative
sood haram hay to haram hay mjhay itna pata air main apna dimagh fazool main kharab nahi krna chahta lagay raho jo marzi asi mazgha kharabawai,Negative
6600 suport kry ga,Positive
apni raai dijiye,Neutral
adab sir but pehli be yahe log ty ppp pmln kaha ty hm log aik din pure pakistan tek allah ke sewa koye nhi kerskta jes mulk ma system salo ase chala arha usko tek krne ma time lgta hm jazbati ha hm hod ache nhi bnte dosro ache ke umeed krty allah ke bad,Negative
bhai baat krty ye court me ni k jae ge prbm ye k court me k jae ge or expose hu ge,Negative
begerat ghtiya chop,Negative
poppy beauty parlor jaa ker bhi wesi ki wesi hi rehti hai naa to koi makeup change hota hai aur naa hi hairstyle chalo bhunariya kaa huliya to kuchh theek hua uss gandi see saari aur bekaar phooldar blouse say to jaan chhooti wudood becharay ko pehaly to chup ka roza laga diya aur ab bilkul hi ghaib kerdiya very bad wudood aur uss ki baaton kay baghair ye serial kaafi boring hogya hai,Negative
remove abdullah he is so off and boring add hashir back,Negative
1 achi quality ka 2 lower quality ka hai,Negative
qadar karo hmari qadar,Positive
khan sb chairman pcb se mohammad aamir k leaye sifaarish he ker dein werna hum dherna dengay,Negative
ye 2 coins me muje puri umeed thi,Positive
lakin mujy to ab hr time aany lg gai hy,Negative
aap ne art ki classes ki farogh mein aham kirdar ada kiya,Positive
zaber10 bohat umdah jiti tareef ki jai kum hey,Positive
exactly un ki baat e kr rai hun,Neutral
hakomat aur adlia ab apni beteion ko usa ke hawale kar de wo khush ho jayen ge hakomat aur adlia tu vease bhi begerat hai,Negative
proud on u iqrar bhai being a lady docteri salute u,Positive
g please baat jawab k dafa pmln sath kyun rhay,Negative
k electric ka boria bistar gol kar denge rabta committee tarikh day k kab dharna den,Negative
sadar e pakistan ke pas jane ke bajaye cigaratte ki dibi utha kar faqt ye sher likh kar bhejh deya,Negative
chand raat m mehndi lgany wali larkiyon ki zarurt hae,Negative
sari ek hi jesi lgti na gown ma,Neutral
gallon omg,Neutral
maf kerdo afridi last 17 year say awam ko fool bana howa tha aabh kabee cricket mai wapas mat aana,Negative
originally posted by uturninqlab dekho gujjar bhangi kami kameen gobar ki badboo say sharaboor mein nay tum jesay shaitani ghulam ko tag kerna chor dia hey tum mujhay tag karo gay mein tumhari tangein utha doon ga jesay qatri nay bubbly ki uthai heinbhangi nasal kay kami kameen gujjar gadhay say insaan bunn pmln kay katooooray,Negative
yr i love you,Positive
whe kr rha abi,Neutral
what is this are u our of ur mindbhai nashy main tum khud hoty ho federal govt employyes ki up gradation ki khabr tumhary page sy hooi ab tum mukr rhy ho,Neutral
main bhata ta ho yi tum ny ki ya hai ashraf ghani,Negative
market walo ka hamy chuna laga kr,Negative
khuwaroon k badshah salamat k walid sahab ki aaj khuwahish thi k sab ghar walay saath baith kar khana nosh farmain,Positive
jo ky essential ho,Neutral
es time lala ki zarort hai 6 lgawo match bnawo,Neutral
awam wada poora hone k muntazir,Negative
aoa facebook ko band hona chahya kyounka ye sab ko khusasan musalmano ko gumrah ker rahi ha,Negative
iqrar your are absolutely stunning keep it up boy,Positive
ladies bhi ada karen,Neutral
jin arkan ne apna haq e raidahi istamal nahi kiya in mein mulana azam tariq owees laghari raja khalid aur amanabbasi shamil han,Negative
lakh lanat tere te,Negative
lala musa kya hy koi na 3 saal bd p mjy isi sal krni p,Negative
malaysia pmln per lanat bej hon,Negative
krein meet,Neutral
sub dako hean bus mqm achea hea altaf hussain is the best,Positive
enginerng me nataij ka tanasub 44 42 or scince 43 87 raha,Negative
allah kary achy kam karian yea log,Positive
chl tu un ka bta,Neutral
or mujh se nahi hota ye sir dard,Negative
lakin kuch log hote hain jinhein sb btaya ja sakta hy,Neutral
first car bomb blast new yorks wall strreet me hua tha,Negative
true but its the league of pakistan and we are proud of it,Positive
hahahah g g,Positive
ye pmln ke haramzadgi,Negative
aap is bary tension na lena,Positive
brwy grouo of colleges ky student,Neutral
link check kero yar dead hay,Negative
where is blind pm and his blind pets arrest them and shoot dont leave them pls,Negative
qasmay bdda ucchltay the yeh hmare lahore ki haar pe,Negative
muj sy,Neutral
drama chek kro behnchod,Negative
baki b iisi tra lagy hwy ha,Neutral
g haan bhi,Neutral
product quality average he ha garmi ma b use ho skti ha tshirt type kapra ha all over nice,Positive
g zarur agr ni to har gazetted holiday incl 23march n 14 aug b khtam kr den,Neutral
apni shadi ke barey mein izhaar e khayalaat karte hue reham khan na kaha,Neutral
masha allaah bht acha kaam kia hey n beautiful allaah pak deeni jazba se u ko maala maal karen wid aafitat aameen,Positive
lgta h ap yh drama regularly dekhty hain,Neutral
pmln ami bann pao lagi container pr chali gyi qoum bhabi k ami k k pas pak aa practically beth twitter danishwer bano aao dekho pak mu lgata ni,Neutral
sir is everything ok,Neutral
level chaaa gya pakistn be ab koi ni jaye bollywood ki trf,Negative
na chahte hue bhi ho hi jata,Negative
w8 bro mn dekhta hub,Neutral
share admi ha,Positive
ajeb sanjidgi ory bri be his se lrki hn,Negative
o dehan kr,Neutral
yothiay srif pmln k khliaaf bkwaas krni ati,Negative
karza in 5 salo my double kr dia or kitni taraqi chaiyaaanon sense,Negative
there is difference between spot and support,Neutral
kxh b ho sakta hy,Neutral
itna gusa kyun jeet to gaye ab abi b maza nai aya kia,Negative
spot or future training ye alag topic ha,Neutral
remember her,Neutral
dua li mujh se,Positive
ye mery dost k pass b issue ajata ha kabi kabi,Negative
056 utha lo na mujhe maza ajaye ga just a joke big fan,Positive
mera di chahta hai k alvi ko pakar ker uss k balon ki kass ker pony bandon aur naz jo itna sara kajal thop ker aati hai wo bhi hata doon aur alizeh k mathay se bhi balon ki lat ko hata doon ye larkiyan shayad apni shakal kabhi ainay mein nahi dekhteen isi liye ye haal hai,Negative
pmln maryam aurangzeb amp uzma bukhari joint media talk nov watch now,Negative
love u boy,Positive
ducky bhai aap ko pata ha ka ra,Neutral
kal agr pdm haar tau pmln audio call leak kary or kaha jaye ye dekhen hmary senators kaha ky gillani vote nehi hamy do lekin usi waqat pti b audio call leak kary esi kism hogi,Negative
nahi d,Negative
person ghr nai ha,Neutral
bilal khan g ki thi,Neutral
surkh aankhein bikhri zulfein udaas chehra,Negative
ya allah eman naseeb frma,Positive
omg ghus k mara lol,Negative
yh fafn wali chawal kyun mari fafn report perho pehle ranasanaullah next day recount vote jeeta khawja asif rat har next day recount jeeta after rts be down pti sirf jeeti baqi pmln jeeti,Negative
data set khud bnaya tha,Neutral
allyap mushlaat khatam farmaan,Negative
arrested or not,Neutral
waah waah kya kehnay,Neutral
or agy jao to ai ka ha,Neutral
usi se puch,Neutral
ye sub bhi bohot hi zyada haseen hain,Positive
kiaa baat krdiwah,Neutral
ab mt krna,Negative
tum sa lq plm,Negative
bat tau sahi pmln kia nawaz bahir bagh zardari akela bughat aisa tau hona,Negative
han g kuch confirm nhi naa,Neutral
pmln lahore jals on december will be the last jalsa khawaja asif,Neutral
sout or not,Neutral
dhobi ki chutti thanks dawlance,Negative
pmln bench eteraz q nahi karti saaf nazar aa h k kiski boli bol,Negative
dekh us ne inkar nahi kiya,Neutral
intzar ki gharian bht dair se bja krti hain,Neutral
mein iski fabric aur fitting se kaafi mutmaeen hoon kiunkay jitna comfortable is ka fabric hai uska double impact user per parhta hai bilkul aik body shaper ki tarhan kaam karta hai aur slim fitting wali shirts baasani pehn sakta hoon ab,Positive
ye open ballet s pmln k senator agr secret ballet hoy dekh lena ek b nh milna inhy,Negative
yhi habar na ahli k waqat b philai gi thi kuch hoa hrami jothy,Neutral
souch he aapki,Positive
ma 1 week se use kr rha ho boht aala set he har lehaz se perfect,Positive
order kr rha tha,Negative
mein pakistan wapsi par inho ne bohat se urdu drama stage kiye jin mein hafeez javed ka tarjuma karda joules scissor aur khuwaja mohyeddin ka khel laal qila se lalokhet waghera shamil hain,Positive
hakim sahab sa bat kesy ki ja skte haplease batain,Neutral
blkl ya quotex ma name suna tha,Neutral
ji nahi pmln k log izzat uchlanay mahar or apni he party kinorton izzat mahfooz ni pmln k mna mpa,Negative
in conferences mein khawateen ke infaradi masailse le kar almi satah tak ke masail par tafsil se giftogo ki gai aur sifarishat par mushtamil elamiye bhi jari keye gaye,Positive
wqtii zeroliner bn gya ho,Neutral
what i told if brake daily spot then am close manually other he pick demand with high volume,Neutral
tamboo mein jalsaa karney waley 3 idiots aaj insanoon ka samundar daikhein,Negative
karle gai aise bhi kiya jaldi hai woow ki lagti fir idar b likh k dikhao na,Negative
lanti bastard gov pahle he kah chuki hai kisi cultural building ko destroy nai kiya ja rah phir kyu ghalt bahani karta hai,Negative
mai samajtha hoon yeh hakoomat ka aik acha faisla hai hamari naujawan nasal is mai barbad ho rahi hai agar yeh positive way k liye ho tu acha hai,Positive
insay bara koi chor hai he nahe or ye pti walay behas kartye he rahye gye,Negative
truly entertaining,Positive
uzair abdullah aameen bhot aachi dua ki,Positive
shahid khaqan abbasi press address rahe seriousness kii halat daikhee pmln kha kai cameras mille poll booth sai so opposition waha kia karnee gaye sanjrani subha bjay nahee shaam bjay gaye on pmln abuse agencies,Negative
tm sad thk ni lgti,Negative
maira kay abba ki soch bohot jahilana hai,Negative
chal bti bna or le le,Neutral
name walda soriya parween 24 piplan istikhara kary,Neutral
ksm se yr sir shahid ko ek br yeh bt bolne ki khuwaish he reh gae h,Negative
kuch design main tabdeelian layi gayeen,Neutral
hahahahahahahahahahahhahahahahah maut nahi sharam tou ati hogi,Negative
har white dekhni wali larki khubsurat nai hoti ho skta ha wo parlour se a rhi ho,Neutral
kun kya chupa rakha hy tu ne,Neutral
hanji aisy hi hy,Neutral
iss ko pachtawa nhi ho skta,Negative
rahai mili to chand mah bad 2 mah key leyae karachi jail mein band ker dea gaya,Negative
yeh bacha surrogate mother ke zariye hasil kiya gaya hai,Neutral
ankh bch gyi,Positive
sir pr dollar itna mehnga dia h pmln k tenure jitna h dy,Negative
is film ke bad pakistani film industry ke darwaze nisar bazmi par khol gaye,Neutral
sab se acha feature iss main ye hy k is main projector b hy,Positive
phir kia bni,Neutral
ye kamal ka bnda ha bhot elam ha is k pass bhi subha nallah,Positive
i love you lahore qalandrs,Positive
wo pata chal jaye ga,Neutral
check kar anti jazbati ho rahi,Negative
tm ne jawan bachi ko bheja qbeghert,Negative
ye kya kr rahay ho bahi xd,Neutral
